0,1.0000,1.0000
6,1.2599,2.8476
12,1.5874,2.8476
18,2.0000,2.8476
24,2.5198,2.8476
30,3.1748,2.8476
36,4.0000,3.8928
42,5.0397,6.1675
48,6.3496,17.8894
54,8.0000,22.4121
60,10.0794,22.4121
66,12.6992,26.9347
72,16.0000,35.5276
78,20.1587,39.8492
84,25.3984,39.8492
90,32.0000,122.3451
96,40.3175,122.3451
102,50.7968,122.3451
108,64.0000,600.6700
114,80.6349,600.6700
120,101.5937,600.6700
126,128.0000,600.6700
132,161.2699,600.6700
138,203.1873,1184.5896
144,256.0000,2291.4573
150,322.5398,4700.1675
156,406.3747,4700.1675
162,512.0000,4700.1675
168,645.0796,4700.1675
174,812.7493,8010.0503
180,1024.0000,17185.9296
186,1290.1592,18509.2127
192,1625.4987,18509.2127
198,2048.0000,32512.5628
204,2580.3183,32512.5628
210,3250.9974,42981.5745
216,4096.0000,176046.9012
222,5160.6366,287658.2915
228,6501.9947,287658.2915
234,8192.0000,355611.3903
240,10321.2732,1029221.1055
246,13003.9894,1029221.1055
252,16384.0000,1029221.1055
258,20642.5465,1029221.1055
264,26007.9788,1029221.1055
270,32768.0000,1029221.1055
276,41285.0930,1558033.5008
282,52015.9577,1558033.5008
288,65536.0000,1558033.5008
294,82570.1859,1558033.5008
300,104031.9153,2403685.0921
306,131072.0000,2403685.0921
312,165140.3719,2403685.0921
