1,200906,1,176028,MPP,1,1456.700,1105.000,2483.000,129600,116640,9,3276.80,106086.00,25920.00,69336.00,3240
1,200906,2,176029,MPP,0,1381.400,1059.000,6950.000,150152,0,4,2355.20,307200.00,307200.00,480000.00,19200
1,200906,3,176321,MPP,0,1002.700,825.500,2268.000,294912,0,4,850.00,147456.00,147456.00,1002700.80,73728
1,200906,4,176203,MPP,0,608.829,487.005,2090.000,51200,0,4,3072.00,51200.00,51200.00,33600.00,1600
1,200906,5,175171,MPP,0,596.378,478.200,2329.000,212992,0,2,700.00,73728.00,32768.00,720896.00,131072
2,200911,1,176544,MPP,0,2627.610,1941.000,5142.000,298592,0,16,2252.80,598016.00,598016.00,1599692.80,18688
2,200911,2,176027,MPP,1,1375.780,1042.000,2345.000,122400,110160,9,3276.80,100192.70,24480.00,65484.00,3060
2,200911,3,176545,MPP,0,1028.850,831.700,3090.000,98928,0,6,2662.40,150528.00,150528.00,240844.80,9408
2,200911,4,176321,MPP,0,1002.700,825.500,2268.000,294912,0,4,850.00,147456.00,147456.00,1002700.80,73728
2,200911,5,176546,MPP,1,1206.190,563.100,1520.447,481280,409600,4,2590.72,100864.00,98304.00,163840.00,6250
3,201006,1,176544,MPP,0,2627.610,1941.000,5142.000,298592,0,16,2252.80,598016.00,598016.00,1599692.80,18688
3,201006,2,176819,Cluster,1,2984.300,1271.000,2580.000,120640,64960,6,2723.84,123424.00,111360.00,593920.00,4640
3,201006,3,176027,MPP,1,1375.780,1042.000,2345.000,122400,110160,9,3276.80,100192.70,24480.00,65484.00,3060
3,201006,4,176545,MPP,0,1028.850,831.700,3090.000,98928,0,6,2662.40,150528.00,150528.00,240844.80,9408
3,201006,5,176321,MPP,0,1002.700,825.500,2268.000,294912,0,4,850.00,147456.00,147456.00,1002700.80,73728
4,201011,1,176929,MPP,1,4701.000,2566.000,4040.000,186368,100352,6,3000.32,250880.00,229376.00,148400.00,7168
4,201011,2,176544,MPP,0,2627.610,1941.000,5142.000,298592,0,16,2252.80,598016.00,598016.00,1599692.80,18688
4,201011,3,176819,Cluster,1,2984.300,1271.000,2580.000,120640,64960,6,2723.84,123424.00,111360.00,593920.00,4640
