information__system,information__institution,information__storage_vendor,information__filesystem_type,information__client_nodes,information__client_total_procs,io500__score,io500__bw,io500__md,information__data,information__id,information__submitter,information__submission_date,information__embargo_end_date,information__storage_install_date,information__storage_refresh_date,information__filesystem_name,information__filesystem_version,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_storage_type,information__md_volatile_memory_capacity,information__md_storage_interface,information__md_network,information__md_software_version,information__md_operating_system_version,information__ds_nodes,information__ds_storage_devices,information__ds_storage_type,information__ds_volatile_memory_capacity,information__ds_storage_interface,information__ds_network,information__ds_software_version,information__ds_operating_system_version,information__note,information__best,io500__tot_iops,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__hard
Apocrita,Queen Mary; University Of London,E8,GPFS,10,240,9.65,4.32,21.55,zip,2018-11-12,Peter Childs,2018-11-09,,11/2018,11/2018,e8Scratch,4.2.3-8,24,CentOS,7.4,3.10.0-693.11.6.el7.x86_64,3,6,SSD / NVMe,188g,NVMe,Ethernet,4.2.3-8,CentOS 7.4,3,6,SSD /NVMe,188g,NVMe,Ethernet,GPFS,CentOS 7.4,,true,21.24,8.86,8.76,1.26,3.56,15.39,67.24,50.48,5.95,8.38,8.79,4.71,431.60
nas6,Nemours,DDN,GPFS,1,2,1.52,0.74,3.11,zip,2018-11-13,Chris Pennington,2018-10-15,,,11/2018,GS7K,,2,Ubuntu,14.04LTS,,,,,,,,,,,,,,,,,,,true,3.25,3.92,4.21,0.18,0.10,4.67,3.34,1.94,4.04,1.26,1.56,0.85,42.47
Palmetto,Clemson University,Dell,BeeGFS,32,32,6.67,2.95,15.10,zip,2018-11-14,Clemson ACI,2018-10-22,,07/2018,07/2018,scratch1b,2.9.7,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,128GB,SATA,10Gbps Ethernet,7.1,7.4,16,10,HDD,128GB,SATA,10Gbps Ethernet,7.1,7.4,,,14.76,4.38,4.50,3.97,0.96,37.14,61.01,41.55,2.91,9.89,20.61,5.33,9.09
NURION,Korea Institute of Science and Technology Information (KISTI),DDN,IME,2048,4096,156.91,554.23,44.43,zip,2018-11-15,KISTI,2018-11-02,,09/2018,,Burst Buffer,1.2,2,CentOS,7.3.1611,3.10.0-514.26.2.el7.x86_64,,,,,,,,,48,16,NVMe,128GB,NVMe,OmniPath,1.2,7.3,,true,173.56,797.23,751.38,716.12,219.95,22.78,325.45,37.89,2.57,233.13,417.05,0.50,434.68
Palmetto,Clemson University,Dell,OrangeFS,16,16,1.47,1.21,1.79,zip,2018-11-16,Clemson ACI,2018-10-18,,07/2018,07/2018,scratch1,2.9.7,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,32,SSD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,16,160,HDD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,,,2.64,3.40,1.61,0.83,0.47,1.27,3.01,2.67,0.83,1.82,2.53,2.08,1.27
Palmetto,Clemson University,Dell,OrangeFS,48,48,2.15,1.80,2.57,zip,2018-11-17,Clemson ACI,2018-10-18,,09/2012,07/2018,scratch1,7.1,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,16,10,HDD,128GB,SATA,10Gbps Ethernet,2.9.7,7.4,,,3.84,2.35,1.83,1.70,1.44,1.83,3.99,3.55,0.96,3.70,4.55,3.02,1.48
Shaheen II,KAUST,Cray,DataWarp,10,80,13.99,14.45,13.53,zip,2018-11-18,George Markomanolis,2018-08-22,,,,,,8,SLES,,12.3,,,,,,,,,64,128,,,PCIe 3.0 x8,Cray Aries,,CLE 6.05,,,23.30,41.44,40.52,3.71,7.00,16.21,19.95,23.30,3.54,21.49,16.61,16.68,7.08
Mistral,DKRZ,Seagate,Lustre,10,80,5.32,1.05,27.06,zip,2018-11-19,Julian Kunkel,2018-11-03,,2016,,lustre02,2.7,8,RHEL,RHEL 6.10,2.6.32-696.18.7.el6.x86_64,1,42,HDD,,,HDR Infiniband,,,62,82,HDD,,,HDR Infiniband,,,,,15.41,24.38,26.00,0.03,0.06,13.47,119.13,13.06,12.47,1.67,74.98,15.44,568.19
ofsdev,Clemson University,Dell,BeeGFS,16,16,16.22,7.33,35.88,zip,2018-11-20,Clemson ACI,2018-08-28,,04/2012,08/2018,ofsdev,7,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.0,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,7.0,7.5,,,35.60,15.23,12.03,3.85,4.09,37.13,129.05,63.88,6.58,11.36,73.13,7.70,213.37
Summit,Oak Ridge National Laboratory,IBM,Spectrum Scale,504,1008,330.56,88.20,1238.93,zip,2018-11-21,George Markomanolis,2018-11-09,,06/2018,,Alpine,5.x,2,RHEL,7.5,,154,211,NLSAS,4GB,12Gbit SAS,EDR InfiniBand,Spectrum Scale 5.x,RHEL 7.5,154,211,NLSAS,4GB,12Gbit SAS,EDR InfiniBand,Spectrum Scale 5.x,RHEL 7.5,,true,864.91,2158.70,1788.32,0.57,27.40,3071.26,28769.40,2699.00,4.68,15354.70,560.89,26.50,21780.03
