Heterogeneous (0/1)	Supercomputer Name
1	Titan
1	Piz Daint
0	Sequoia
0	Cori
0	Oakforest-PACS
0	KComputer
0	Mira
0	Trinity
0	Cray XC40
0	Stampede 2
0	MareNostrum
0	Marconi Intel Xeon Phi
1	Pleiades
0	Theta
0	Hazel Hen
0	Shaheen II
0	Pangea
1	Stampede
1	Sunway Taihu Light
1	Tianhe-2A
1	Piz Daint
	Gyoukou
1	Titan
0	Sequoia
0	Trinity
0	Cori
0	Oakforest-PACS
0	KComputer
0	Mira
1	Stampede 2
1	TSUBAME 3.0
0	Marconi Intel Xeon Phi
0	Cray XC40
0	MareNostrum
1	Pleiades
0	Theta
0	Hazel Hen
0	Shaheen II
1	Summit
1	Sunway Taihu Light
1	Sierra
1	Tianhe-2A
1	ABCI
1	Piz Daint
1	Titan
0	Sequoia
0	Trinity
0	Cori
0	Nurion
0	Oakforest-PACS
0	HPC4
0	Tera 1000-2
0	Stampede 2
0	KComputer
0	Mira
0	Marconi Intel Xeon Phi
1	TSUBAME 3.0
0	Cray XC40
1	Summit
1	Sierra
1	Sunway Taihu Light
1	Tianhe-2A
1	Piz Daint
1	Trinity
1	ABCI
0	SuperMUC-NG
1	Titan
0	Sequoia
1	Lassen
0	Cori
0	Nurion
0	Oakforest-PACS
0	HPC4
0	Tera 1000-2
0	Stampede 2
0	KComputer
0	Marconi Intel Xeon Phi
0	Taiwania 2
1	Summit
1	Sierra
1	Sunway Taihu Light
1	Tianhe-2A
0	Frontera
1	Piz Daint
1	Trinity
1	ABCI
0	SuperMUC-NG
1	Lassen
1	Pangea III
1	Titan
0	Sequoia
0	Cori
0	Nurion
0	Oakforest-PACS
0	HPC4
0	Tera 1000-2
0	Stampede 2
0	KComputer
