13,201506,5,177718,MPP,0,10066.300,8586.610,3945.000,786432,0,16,1638.40
14,201511,1,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
14,201511,2,177975,MPP,1,27112.500,17590.000,8209.000,560640,261632,16,2252.80
14,201511,3,177556,MPP,0,20132.700,17173.200,7890.000,1572864,0,16,1638.40
14,201511,4,177232,Cluster,0,11280.400,10510.000,12659.890,705024,0,8,2048.00
14,201511,5,177718,MPP,0,10066.300,8586.610,3945.000,786432,0,16,1638.40
15,201606,1,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
15,201606,2,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
15,201606,3,177975,MPP,1,27112.500,17590.000,8209.000,560640,261632,16,2252.80
15,201606,4,177556,MPP,0,20132.700,17173.200,7890.000,1572864,0,16,1638.40
15,201606,5,177232,Cluster,0,11280.400,10510.000,12659.890,705024,0,8,2048.00
16,201611,1,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
16,201611,2,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
16,201611,3,177975,MPP,1,27112.500,17590.000,8209.000,560640,261632,16,2252.80
16,201611,4,177556,MPP,0,20132.700,17173.200,7890.000,1572864,0,16,1638.40
16,201611,5,178924,MPP,0,27880.700,14014.700,3939.000,622336,0,68,1433.60
17,201706,1,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
17,201706,2,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
17,201706,3,177824,MPP,1,27154.300,21230.000,2384.240,387872,297920,12,2662.40
17,201706,4,177975,MPP,1,27112.500,17590.000,8209.000,560640,261632,16,2252.80
17,201706,5,177556,MPP,0,20132.700,17173.200,7890.000,1572864,0,16,1638.40
18,201711,1,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
18,201711,2,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
18,201711,3,177824,MPP,1,27154.300,21230.000,2384.240,387872,297920,12,2662.40
18,201711,4,179102,Cluster,1,28192.000,19135.800,1350.200,19860000,19840000,16,1331.20
18,201711,5,177975,MPP,1,27112.500,17590.000,8209.000,560640,261632,16,2252.80
19,201806,1,179397,Cluster,1,200795.000,143500.000,9783.000,2397824,2090880,22,3143.68
19,201806,2,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
19,201806,3,179398,Cluster,1,125712.000,94640.000,7438.280,1572480,1382400,22,3174.40
19,201806,4,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
19,201806,5,179393,Cluster,1,32576.600,19880.000,1649.250,391680,348160,20,2457.60
20,201811,1,179397,Cluster,1,200795.000,143500.000,9783.000,2397824,2090880,22,3143.68
20,201811,2,179398,Cluster,1,125712.000,94640.000,7438.280,1572480,1382400,22,3174.40
20,201811,3,178764,MPP,1,125436.000,93014.600,15371.000,10649600,10485760,260,1484.80
20,201811,4,177999,MPP,1,100679.000,61444.500,18482.000,4981760,4554752,12,2252.80
20,201811,5,177824,MPP,1,27154.300,21230.000,2384.240,387872,297920,12,2662.40
