175171,5,,,,,,,,,,,,,,,,,,,
176027,,2,3,,,,,,,,,,,,,,,,,
176028,1,,,,,,,,,,,,,,,,,,,
176029,2,,,,,,,,,,,,,,,,,,,
176203,4,,,,,,,,,,,,,,,,,,,
176321,3,4,5,,,,,,,,,,,,,,,,,
176544,,1,1,2,3,3,,,,,,,,,,,,,,
176545,,3,4,,,,,,,,,,,,,,,,,
176546,,5,,,,,,,,,,,,,,,,,,
176819,,,2,3,4,4,,,,,,,,,,,,,,
176927,,,,4,5,5,,,,,,,,,,,,,,
176929,,,,1,2,2,5,,,,,,,,,,,,,
176952,,,,5,,,,,,,,,,,,,,,,
177232,,,,,1,1,2,3,4,4,4,4,4,4,5,,,,,
177556,,,,,,,1,2,3,3,3,3,3,3,4,4,5,,,
177718,,,,,,,3,4,5,5,5,5,5,5,,,,,,
177719,,,,,,,4,,,,,,,,,,,,,
177722,,,,,,,,5,,,,,,,,,,,,
177824,,,,,,,,,,,,,,,,,3,3,,5
177975,,,,,,,,1,2,2,2,2,2,2,3,3,4,5,,
177999,,,,,,,,,1,1,1,1,1,1,2,2,2,2,4,4
178764,,,,,,,,,,,,,,,1,1,1,1,2,3
178924,,,,,,,,,,,,,,,,5,,,,
179102,,,,,,,,,,,,,,,,,,4,,
179393,,,,,,,,,,,,,,,,,,,5,
179397,,,,,,,,,,,,,,,,,,,1,1
179398,,,,,,,,,,,,,,,,,,,3,2
