166659,0.00054
166660,0.00054
166661,0.00054
166662,0.00054
166664,0.00054
166665,0.196
166666,0.216
166667,0.4427
166668,0.108
166669,0.0613
166670,0.3789
166671,0.3789
166672,0.3789
166673,0.3789
166674,0.3789
166675,0.3789
166676,0.0808
166677,0.6803
166678,0.00057
166689,0.575
166690,0.0039
166691,0.0039
166692,0.0039
166693,0.0039
166694,0.0039
166695,0.005
166696,0.005
166698,0.005
166699,0.00375
166700,0.0024
166731,0.00507
166732,0.00507
166733,0.0059
166735,0.00554
166740,0.00665
166747,0.0137
166748,0.0247
166750,0.0247
166751,0.0142
166752,0.01796
166753,0.01796
166754,0.0152
166755,0.0152
166756,0.0192
166757,0.02478
166758,0.02814
166759,0.0309
166760,0.0309
166761,0.0309
166762,0.55
166763,0.0486
166764,0.01933
166765,0.4784
166766,1.608
166767,2.144
166768,0.6069
166800,0.00042
166803,0.00042
166805,0.00042
166808,0.00042
166814,0.00042
166815,0.00042
166816,0.00042
166817,0.00042
166818,0.00042
166819,0.00042
166820,0.00042
166821,0.00042
166822,0.00042
166823,0.00042
166824,0.00042
166829,0.00052
166830,0.00061
166831,0.00061
166832,0.00061
166833,0.00061
166834,0.00061
166837,0.0008
166838,0.0008
166839,0.0008
166840,0.0008
166841,0.0008
166842,0.0008
166843,0.0008
166848,0.00133
166849,0.00133
166850,0.00133
166851,0.0029
166852,0.0029
166853,0.0029
166857,0.1544
166858,0.2714
166861,0.1213
166862,0.1675
166863,0.211
166864,0.2636
166865,0.2636
166866,0.2898
166867,0.5076
166868,0.5076
166869,0.0638
166870,0.0638
166871,0.0638
166872,0.1012
166873,0.1491
166875,0.2231
166876,0.3499
166877,0.3441
166878,0.3499
166879,0.4274
166880,0.6909
166881,1.007
166882,0.2205
166883,2.164
166884,2.096
166885,0.2997
166886,2.916
166887,0.178
166888,3.98
166889,4.463
166890,0.54
166891,0.772
166892,0.8255
166893,0.8622
166894,0.8622
166895,0.809
166896,0.8622
166897,0.5384
166898,0.5384
166899,7.727
166900,7.727
166901,13.88
166902,0.08751
166930,0.00087
166931,0.00087
166932,0.00087
166933,0.00087
166934,0.00087
166935,0.00087
166936,0.00087
166937,0.00087
166938,0.00087
166939,0.00087
166940,0.00087
