200106,8,170921,SX-5/128M8 3.2ns
200106,9,169958,SP Power3 375 MHz
200106,10,169957,SP Power3 375 MHz
200111,1,172411,ASCI White, SP Power3 375 MHz
200111,2,173275,AlphaServer SC45, 1 GHz
200111,3,170214,SP Power3 375 MHz 16 way
200111,4,168753,ASCI Red
200111,5,166767,ASCI Blue-Pacific SST, IBM SP 604e
200111,6,166884,AlphaServer SC45, 1 GHz
200111,7,170767,SR8000/MPP
200111,8,166766,ASCI Blue Mountain
200111,9,169991,SP Power3 375 MHz
200111,10,170206,SP Power3 375 MHz 16 way
200206,1,167148,Earth-Simulator
200206,2,172411,ASCI White, SP Power3 375 MHz
200206,3,166889,AlphaServer SC45, 1 GHz
200206,4,166888,AlphaServer SC45, 1 GHz
200206,5,170214,SP Power3 375 MHz 16 way
200206,6,166886,AlphaServer SC45, 1 GHz
200206,7,168753,ASCI Red
200206,8,170321,pSeries 690 Turbo 1.3GHz
200206,9,166767,ASCI Blue-Pacific SST, IBM SP 604e
200206,10,170318,pSeries 690 Turbo 1.3GHz
200211,1,167148,Earth-Simulator
200211,2,166900,ASCI Q
200211,3,166899,ASCI Q
200211,4,172411,ASCI White, SP Power3 375 MHz
200211,5,167394,MCR Linux Cluster Xeon 2.4 GHz
200211,6,166889,AlphaServer SC45, 1 GHz
200211,7,166888,AlphaServer SC45, 1 GHz
200211,8,167293,Aspen Systems, Dual Xeon 2.2 GHz
200211,9,173115,pSeries 690 Turbo 1.3GHz
200211,10,173122,pSeries 690 Turbo 1.3GHz
200306,1,167148,Earth-Simulator
200306,2,166901,ASCI Q
200306,3,167394,MCR Linux Cluster Xeon 2.4 GHz
200306,4,172411,ASCI White, SP Power3 375 MHz
200306,5,170230,Seaborg
200306,6,172591,xSeries Cluster Xeon 2.4 GHz
200306,7,168701,PRIMEPOWER HPC2500 (1.3 GHz)
200306,8,168759,Cluster Platform 6000 rx2600 Itanium2 1 GHz Cluster
200306,9,166889,AlphaServer SC45, 1 GHz
200306,10,166888,AlphaServer SC45, 1 GHz
200311,1,167148,Earth-Simulator
200311,2,166901,ASCI Q
200311,3,173225,X
200311,4,173266,Tungsten
200311,5,173082,Mpp2
200311,6,173164,Lightning
200311,7,167394,MCR Linux Cluster Xeon 2.4 GHz
200311,8,172411,ASCI White, SP Power3 375 MHz
200311,9,170230,Seaborg
200311,10,172591,xSeries Cluster Xeon 2.4 GHz
200406,1,167148,Earth-Simulator
200406,2,173300,Thunder
200406,3,166901,ASCI Q
200406,4,173289,BlueGene/L DD1 Prototype (0.5GHz PowerPC 440 w/Custom)
200406,5,173266,Tungsten
200406,6,173441,eServer pSeries 690 (1.9 GHz Power4+)
200406,7,173287,RIKEN Super Combined Cluster
200406,8,173987,BlueGene/L DD2 Prototype (0.7 GHz PowerPC 440)
200406,9,173082,Mpp2
200406,10,173564,Dawning 4000A, Opteron 2.2 GHz, Myrinet
200411,1,173632,BlueGene/L beta-System
200411,2,173737,Columbia
200411,3,167148,Earth-Simulator
200411,4,173738,MareNostrum
200411,5,173300,Thunder
200411,6,166901,ASCI Q
200411,7,173736,System X
200411,8,173289,BlueGene/L DD1 Prototype (0.5GHz PowerPC 440 w/Custom)
200411,9,173872,eServer pSeries 655 (1.7 GHz Power4+)
200411,10,173266,Tungsten
