200311,5632.0
200406,3156.0
200411,2294.4
200506,2105.6875
200511,3605.35593220339
200606,4850.46666666667
200611,5674.5
200706,97902.8809523809
200711,98372.5813953488
200806,93910.5106382979
200811,16068.2222222222
200906,21063.5505617978
200911,34643.0444444444
201006,39399.0833333333
201011,50118.8987341772
201106,83339.2666666667
201111,102777.011627907
201206,104773.914285714
201211,100065.076335878
201306,121530.862903226
201311,131779.401709402
201406,133207.268292683
201411,125681.883211679
201506,116824.864321608
201511,144322.06405694
201606,152929.012698413
201611,173589.447129909
201706,181480.409375
201711,191305.288571429
201806,278892.57622739
201811,302033.927058824
