199706,1.068
199711,1.338
199806,1.338
199811,1.473
199906,1.8645
199911,2.04366666666667
200006,1.7166
200011,2.438
200106,2.06984166666667
200111,2.08812352941176
200206,3.61087916666667
200211,3.08710625
200306,2.76481457142857
200311,2.50248123188406
200406,2.54317520491803
200411,2.64460854219948
200506,3.40255092
200511,4.60557702
200606,5.61459094000001
200611,7.1311668
200706,9.94552614
200711,14.10468988
200806,24.49666158
200811,34.8679604
200906,46.1389675999999
200911,57.657065
201006,70.7111389999999
201011,97.6296103999999
201106,145.7297268
201111,207.6877164
201206,289.5789238
201211,412.4029172
201306,578.5447732
201311,622.51753
201406,676.974896000001
201411,738.298378
201506,849.414458000001
201511,987.298418000001
201606,1264.663942
201611,1483.88503
201706,1665.841368
201711,1778.796374
201806,2543.07653599999
201811,2830.027146
